Scientific Name,Common Name,Duration,Habit,Sun,Water
Claytonia caroliniana,"Carolina Springbeauty",Perennial,Herb,Part-shade,Wet and moist, http://www.minnesotawildflowers.info/udata/r9ndp23q/pd/claytonia-caroliniana-5.jpg 
Claytonia virginica,"Virginia Springbeauty",Perennial,Herb,Part-shade,Moist, https://upload.wikimedia.org/wikipedia/commons/3/39/Claytonia_virginica_2_Radnor_Lake.jpg 
Conoclinium coelestinum,"Blue Mistflower",Perennial,Herb,"Sun & part-shade",Moist, https://www.thespruce.com/thmb/B1_3h2B9b1NiAMLr0iZjBV1uaZI=/2506x2506/smart/filters:no_upscale()/blue-mistflowers-guide-5188907-hero-9905854600104017816ade5a4495dcd0.jpg 
Coreopsis lanceolata,"Lanceleaf Coreopsis",Perennial,Herb,"Sun shade & part-shade",Dry, https://www.americanmeadows.com/media/catalog/product/l/a/lanceleaf-coreopsis.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width= 
Cornus alternifolia,"Alternateleaf Dogwood",Perennial,Shrub,"Shade & part-shade",Moist, https://s3.amazonaws.com/eit-planttoolbox-prod/media/images/Cornus-alternifolia--Distant-Hill-Gardens--CC-BY-NC-ND.jpg 
Cornus florida,Flowering Dogwood,Perennial,Tree,Shade & Part-shade,Moist and dry, https://cdn.britannica.com/20/211920-050-8E3E17C5/flowering-dogwood-tree.jpg
Desmodium canadense,Showy Tick Trefoil,Perennial,Herb,Sun,Moist and dry, https://www.illinoiswildflowers.info/prairie/photox/shw_trefoil1.jpg
Eutrochium purpureum,Purple Joepyeweed,Perennial,Herb,Sun & shade & part-shade,Moist, https://www.gardenia.net/storage/app/public/uploads/images/detail/iWFEt1cDDL2zUmgFASGPuY4df5EwBqdyos5WDNp8.webp
Fagus grandifolia,American Beech,Perennial,Tree,Shade & part-shade,Moist, https://www.adirondackvic.org/Images/Trees-of-the-Adirondacks-American-Beech--25-July-2012-3.jpg
Fothergilla gardenii,Dwarf Witchalder,Perennial,Shrub,Sun & part-shade, https://pics.davesgarden.com/pics/2008/05/09/rebecca101/0a200e.jpg
Fraxinus americana,White Ash,Perennial,Tree,Sun & shade & part-shade,Moist and dry, https://upload.wikimedia.org/wikipedia/commons/d/d9/Fraxinus_americana_002.jpg
Fraxinus nigra,Black Ash,Perennial,Tree,Sun & shade & part-shade,"Wet and moist", https://upload.wikimedia.org/wikipedia/commons/8/8a/Fraxinus_nigra_leaves.jpg
Gaultheria procumbens,Eastern Teaberry,Perennial,Shrub,Shade & part-shade,"Moist and dry", https://sep.yimg.com/ay/yhst-13621674513170/10-seeds-gaultheria-procumbens-eastern-teaberry-the-checkerberry-the-boxberry-american-wintergreen-3.gif
Gaylussacia baccata,Black Huckleberry,Perennial,Shrub,Sun & shade & part-shade,"Wet and moist and dry", https://ouroneacrefarm.com/wp-content/uploads/2013/07/black-huckleberry-shrub.jpg
Gaylussacia brachycera,Box Huckleberry,Perennial,Shrub,Part-shade, https://static01.nyt.com/images/2014/08/19/science/19HUCK/19HUCK-superJumbo.jpg
Helianthus tuberosus,Jerusalem Artichoke,Perennial,Herb,Sun,"Moist and dry", https://i.guim.co.uk/img/media/14db23be665b7d3ca1ab037631c05936ab06baff/0_0_4928_2956/master/4928.jpg?width=1200&height=1200&quality=85&auto=format&fit=crop&s=b097364efc0da65e6121ff6eacb4d4c2
Hibiscus moscheutos,Crimson-eyed Rose-mallow,Perennial,Shrub,Sun & part-shade,"Wet and moist", https://www.projectpurityseeds.com/uploads/8/5/0/5/8505680/s925701709637191692_p181_i35_w1920.jpeg
Hypericum prolificum,Shrubby St. John's-wort,Perennial,Shrub,Shade & part-shade,"Moist and dry", https://arkansasnativeplant.files.wordpress.com/2019/07/photo-2-july-4.jpg
DryIlex opaca,American Holly,Perennial,Tree,Sun & shade & part-shade,"Wet and dry", https://cdn.shopify.com/s/files/1/0059/8835/2052/products/Satyr_Hill_American-Holly_6_FGT_650x.jpg?v=1599029492
Juglans nigra,Black Walnut,Perennial,Tree,Sun & part-shade,Moist, https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Black_Walnut_nut_and_leave_detail.JPG/1200px-Black_Walnut_nut_and_leave_detail.JPG
Juniperus virginiana,Eastern Red Cedar,Perennial,Tree,Sun & shade & part-shade,Dry, https://cdn.shopify.com/s/files/1/0059/8835/2052/products/Eastern_Red_Cedar_1_FGT_650x.jpg?v=1633617967
Kalmia latifolia,Mountain Laurel,Perennial,Shrub,Part-shade,Moist, https://www.laurensgardenservice.com/wp-content/uploads/2016/05/Klatifoliafl.jpg
Larix laricina,Tamarack,Perennial,Tree,Sun & shade,"Wet and moist", https://wildadirondacks.org/images/Trees-of-the-Adirondacks-Tamarack-Larix-laricina-Needles-17-May-2015-61.jpg
Liatris spicata,Dense Blazing Star,Perennial,Herb,Sun,Moist, https://www.directnativeplants.com/wp-content/uploads/2020/04/dreamstime_m_156625318.jpg
Liquidambar styraciflua,Sweetgum,Perennial,Tree,Part-shade,Moist, https://upload.wikimedia.org/wikipedia/commons/6/6a/2014-11-02_13_06_29_Sweet_Gum_during_autumn_along_Lower_Ferry_Road_in_Ewing%2C_New_Jersey.JPG
Liriodendron tulipifera,Tulip Tree,Perennial,Tree,Sun & shade & part-shade,Moist, https://gardentabs.com/wp-content/uploads/2020/02/Tulip-tree-or-poplar-tree-Liriodendron-tulipifera-is-large-deciduous-tree-native-to-eastern-North-America.jpg
Lobelia cardinalis,Cardinal Flower,Perennial,Herb,Sun & shade & part-shade,"Wet and moist", https://cdn11.bigcommerce.com/s-ih8o56kgor/images/stencil/1280x1280/products/2971/8869/cardinal-flower-033__95995.1601060521.png?c=2
Lobelia siphilitica,Great Blue Lobelia,Perennial,Herb,Sun & shade & part-shade,"Wet and moist", https://www.everwilde.com/media/1000/Lobelia-siphilitica.gif
Lupinus perennis,Sundial Lupine,Perennial,Herb,Sun & part-shade,"Moist and dry", https://www.wellsreserve.org/writable/images/archive/flora-fauna/Sundial-Lupine-19.06.05_3670Cs.jpg
Maianthemum racemosum ssp. racemosum,Feathery False Lily Of The Valley,Perennial,Herb,Shade & part-shade,"Moist and dry", https://bugwoodcloud.org/images/768x512/5466736.jpg
Maianthemum stellatum,Starry False Lily Of The Valley,Perennial,Herb,Shade & part-shade,Moist, https://www.gardenia.net/storage/app/public/uploads/images/detail/QarUuLEt5zhBMiVD3EoXuHKj4sDuVflHcydXl0jw.webp
Malus coronaria,Sweet Crabapple,Perennial,Tree,Part-shade,Moist, https://www.wilsonbrosgardens.com/assets/images/malus-coronaria-american-sweet-crabapple-4.jpg
Matteuccia struthiopteris,Ostrich Fern,Perennial,"Herb, Fern",Shade & part-shade,"Moist and dry", https://www.americanmeadows.com/media/catalog/product/f/e/fern-ostrich-matteuccia-struthiopteris-cropped.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=
Mitchella repens,Partridgeberry,Perennial,Herb,Shade & part-shade,Moist, https://www.gardeningknowhow.com/wp-content/uploads/2016/05/partride-berry.jpg
Mitella diphylla,Twoleaf Miterwort,Perennial,Herb,Shade,"Wet and moist", http://www.minnesotawildflowers.info/udata/r9ndp23q/pd/mitella-diphylla-39.jpg
Monarda didyma,Scarlet Beebalm,Perennial,Herb,Sun & part-shade,"Moist and dry", https://www.gardenia.net/storage/app/public/uploads/images/detail/RHcyxrnEmplYEVoZbjPTRn9WHXHrDKQPjcl8DJxJ.webp
Monarda fistulosa,Wild Bergamot,Perennial,Herb,Sun & part-shade,Moist, http://cdn.shopify.com/s/files/1/0620/2749/7724/products/bee-balm-1.jpg?v=1652798454
,"Tupelo, Blackgum, Black Tupelo, Sourgum, Pepperidge, Tupelo Gum, Beetlebung",Perennial,Tree,"Sun, Shade, Part-shade",
,Cinnamon Fern,Perennial,"Herb, Fern","Sun, Shade, Part-shade",
,Interrupted Fern,Perennial,"Herb, Fern",Shade,
,Royal Fern,Perennial,"Herb, Fern",,
,Virginia Creeper,Perennial,Vine,"Shade, Part-shade",
,"Mississippi Penstemon, Mississippi Beardtongue, Smooth White Penstemon, Smooth White Beardtongue, Talus Slope Penstemon, Talus Slope Beardtongue, Foxglove Penstemon, Foxglove Beardtongue",Perennial,Herb,,
,"Hairy Penstemon, Hairy Beardtongue",Perennial,Herb,,
,"Wild Blue Phlox, Louisiana Phlox, Blue Woodland Phlox, Sweet William, Wild Sweet William",Perennial,Herb,,
,"Creeping Phlox, Moss Phlox, Moss Pink, Rock Pink",Perennial,Herb,,
,"Fall Obedient Plant, False Dragonhead, Virginia Lions-heart",Perennial,Herb,,
,"Red Spruce, Yellow Spruce, West Virginia Spruce, Eastern Spruce, He-balsam",Perennial,Tree,,
,"Red Pine, Norway Pine, Canadian Pine",Perennial,Tree,,
,"Eastern White Pine, Weymouth Pine",Perennial,Tree,,
,"Virginia Pine, Jersey Pine, Scrub Pine",Perennial,Tree,,
,"Mayapple, Indian Apple, Wild Mandrake, Pomme De Mai, Podophylle Pelt",Perennial,Herb,,
,"Greek Valerian, Jacob's Ladder",Perennial,Herb,,
,Christmas Fern,Perennial,Fern,,
,"Black Cherry, Wild Black Cherry, Rum Cherry",Perennial,Tree,,
,"Chokecherry, Common Chokecherry, Choke Cherry",Perennial,Tree,,
,"Western Bracken Fern, Bracken Fern, Western Bracken, Bracken",Perennial,"Herb, Fern",,
,"White Oak, Northern White Oak, Eastern White Oak, Stave Oak, Ridge White Oak, Forked-leaf White Oak",Perennial,Tree,,
,"Scarlet Oak, Red Oak",Perennial,Tree,,
,"Bur Oak, Burr Oak, Savanna Oak, Overcup Oak, Prairie Oak, Mossy-cup Oak, Mossy-overcup Oak, Blue Oak",Perennial,Tree,,
,"Chinkapin Oak, Chinquapin Oak, Chestnut Oak, Yellow Chestnut Oak, Rock Chestnut Oak, Yellow Oak, Rock Oak",Perennial,Tree,,
,"Pin Oak, Swamp Spanish Oak",Perennial,Tree,,
,Northern Red Oak,Perennial,Tree,,
,"Smooth Azalea, Sweet Azalea",Perennial,Shrub,,
,Flame Azalea,Perennial,Shrub,,
,"Great Laurel, Wild Rhododendron, Rosebay Rhododendron, White Laurel, Rosebay",Perennial,Shrub,,
,Plumleaf Azalea,Perennial,Shrub,,
,"Winged Sumac, Shining Sumac, Flameleaf Sumac, Mountain Sumac, Dwarf Sumac, Wing-rib Sumac, Black Sumac, Upland Sumac",Perennial,Shrub,,
,Swamp Rose,Perennial,Shrub,,
,"Black-eyed Susan, Common Black-eyed Susan, Brown-eyed Susan, Blackeyed Susan",Annual,Herb,,
,"Green-headed Coneflower, Greenhead Coneflower, Cutleaf Coneflower, Wild Goldenglow, Sochan",Perennial,Herb,,
,"Sassafras, White Sassafras, Ague Tree, Cinnamon Wood, Mitten Tree, Saloop, Smelling Stick",Perennial,Tree,,
,Shrubby Five-fingers,Perennial,Herb,,
,"Fire Pink, Scarlet Catchfly",Perennial,Herb,,
,"Cup Plant, Indian Cup",Perennial,Herb,,
,"American Mountain Ash, American Mountain-ash",Perennial,Tree,,
,"New England Aster, New England American-aster",Perennial,Herb,,
,"Arborvitae, Eastern Arborvitae, Northern White Cedar",Perennial,Tree,,
,"Heartleaf Foamflower, Heart-leaf Foamflower",Perennial,Herb,,
,"American Basswood, American Linden, Lime Tree, Bee Tree",Perennial,Tree,,
,"American Basswood, White Basswood, Linden",Perennial,Tree,,
,Eastern Hemlock,Perennial,Tree,,
,"Lowbush Blueberry, Late Lowbush Blueberry",Perennial,Shrub,,
,"Nannyberry, Blackhaw, Sweet Viburnum, Sheepberry",Perennial,Shrub,,
,"Birdfoot Violet, Bird's-foot Violet, Bird-foot Violet",Perennial,Herb,,
,"Missouri Violet, Common Blue Violet, Hooded Blue Violet, Florida Violet, Meadow Violet, Confederate Violet, Dooryard Violet, Purple Violet, Woolly Blue Violet, Wood Violet, Hooded Violet",Annual,Herb,,
